url,Date,Column 1,Actual (1),Historical Average,Record
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-23,2019-05-23,Precipitation; 0.48,0.48,0.14,1.72
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-23,2019-05-23,Month to Date,4.3,2.7,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-23,2019-05-23,Year to Date,19.63,16.6,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-24,2019-05-24,Precipitation; 0,0,0.14,1.82
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-24,2019-05-24,Month to Date,4.3,2.84,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-24,2019-05-24,Year to Date,19.63,16.74,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-25,2019-05-25,Precipitation; 0,0,0.13,1.64
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-25,2019-05-25,Month to Date,4.3,2.97,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-25,2019-05-25,Year to Date,19.63,16.87,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-26,2019-05-26,Precipitation; 0.25,0.25,0.14,1.59
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-26,2019-05-26,Month to Date,4.55,3.11,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-26,2019-05-26,Year to Date,19.88,17.01,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-27,2019-05-27,Precipitation; 0,0,0.13,1.84
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-27,2019-05-27,Month to Date,4.55,3.24,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-27,2019-05-27,Year to Date,19.88,17.14,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-28,2019-05-28,Precipitation; 0.19,0.19,0.13,1.41
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-28,2019-05-28,Month to Date,4.74,3.37,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-28,2019-05-28,Year to Date,20.07,17.27,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-30,2019-05-30,Precipitation; 0.8,0.8,0.14,2.19
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-30,2019-05-30,Month to Date,6.37,3.65,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-30,2019-05-30,Year to Date,21.7,17.55,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-31,2019-05-31,Precipitation; 1e-16,1e-16,0.14,2.23
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-31,2019-05-31,Month to Date,6.37,3.79,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-05-31,2019-05-31,Year to Date,21.7,17.69,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-01,2019-06-01,Precipitation; 0,0,0.14,1.9
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-01,2019-06-01,Month to Date,0,0.14,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-01,2019-06-01,Year to Date,21.7,17.83,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-02,2019-06-02,Precipitation; 0.39,0.39,0.14,2.85
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-02,2019-06-02,Month to Date,0.39,0.28,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-02,2019-06-02,Year to Date,22.09,17.97,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-03,2019-06-03,Precipitation; 0,0,0.14,2.47
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-03,2019-06-03,Month to Date,0.39,0.42,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-03,2019-06-03,Year to Date,22.09,18.11,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-04,2019-06-04,Precipitation; 0,0,0.14,2.69
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-04,2019-06-04,Month to Date,0.39,0.56,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-04,2019-06-04,Year to Date,22.09,18.25,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-05,2019-06-05,Precipitation; 1e-16,1e-16,0.14,1.78
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-05,2019-06-05,Month to Date,0.39,0.7,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-05,2019-06-05,Year to Date,22.09,18.39,-
https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA/date/2019-06-06,2019-06-06,Precipitation; 0.05,0.05,0.14,2.56
